AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
27423,27423,Dressel 20,Dieburg,"Nr. 23, rechteckige Grube unter Bef. 26.",49.897382,8.846132,|AS|,AS,,,,,,,,,,,
27423,27423,Dressel 20,Dieburg,"Nr. 23, rechteckige Grube unter Bef. 26.",49.897382,8.846132,|SV^PERST<IS(-)FIIC|,SVPERSTISFEC (SVPERSTITISFIIC),,,,,,,,,,,
13963,13963,Dressel 20,Echzell,Echzell,50.390265,8.886115,|PTAN|,PTAN,,,,,,,,,,,
12698,12698,Dressel 20,Eining,Eining,48.85632,11.772216,[AC]IRGI,ACIRGI,,Itálica,,,,,,,,,
14224,14224,Dressel 20,Eisenberg,Eisenberg,49.558592,8.071989,"PCLODIICELI, sine imagine",PCLODIICELI,,Arva,,,,,,,,,
14240,14240,Dressel 20,Eisenberg,"Eisenberg an der Eis, Donnersbergkreis",49.558592,8.071989,"CALPC, sine imagine",CALPC,,,,,,,,,,,
14908,14908,Dressel 20,Emerkingen,Alb-Donau-Kreis,48.212485,9.657342,|SA^T^V^RNINI|,SATVRNINI,,,,,,,,,,,
14726,14726,Dressel 20,Ensch,"Ensch, Kreis Trier-Saarburg",49.828532,6.832807,"DOMS, sine imagine",DOMS,,Alcolea del Río,,,,,,,,,
14124,14124,Dressel 20,Faimingen,Faimingen,48.561354,10.409055,"LCANTP, sine imagine",LCANTP,,La Catria,,,,,,,,,
11994,11994,Dressel 20,Fellbach,"Traubenstrasse, in den 60er Jahren.",48.815624,9.277806,|IICCLM'M'*,IICCLMM,,El Tejarillo,,,,,,,,,
14761,14761,Dressel 20,Fliessem,Villa,50.023811,6.541303,"APM, sine imagine",APM,,El Marchante,,,,,,,,,
12016,12016,Dressel 20,Frankfurt am Main,"Lesefund, Ankauf von Markus Hemberger.",50.11552,8.684167,CCXV,CCXV {125},,,,,,,,,,,
12016,12016,Dressel 20,Frankfurt am Main,"Lesefund, Ankauf von Markus Hemberger.",50.11552,8.684167,Fisci Rationis Patrim(onis)/ Provinciae Baeticae,Fisci rationis patrimonis/ Provinciae Baeticae,,,,,,,,,,,
12016,12016,Dressel 20,Frankfurt am Main,"Lesefund, Ankauf von Markus Hemberger.",50.11552,8.684167,[---]X[----],…X…,,,,,,,,,,,
